1820,"[{'U', 'Ti', 'Si', 'Te'}, {np.str_('Br'), 'I', 'F', 'Cl'}, {'P', 'As'}, {'Zn', 'Ba', np.str_('Mg'), 'Ca', 'Sr'}, {'K', 'Na', 'H'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'Au', 'Al', 'B'}, {np.str_('Ni'), np.str_('Co')}, {'Pt', np.str_('Ir')}, {np.str_('W'), np.str_('Mo'), 'Zr', np.str_('U'), 'Ce', np.str_('Te')}, {'O', np.str_('C'), 'S', 'Se'}, {'I', 'F', 'Cl'}, {'Ba', np.str_('Cu'), 'Pb'}, {'Sn', 'Pt', np.str_('Ir')}, {np.str_('W'), np.str_('Mo'), 'Zr', np.str_('U'), 'Ti', 'Ce', np.str_('Te')}, {'Fe', 'Pd'}]"
1821,"[{'Mo', 'Zr', 'U', 'Ce', 'Te'}, {'Ta', 'Ir'}, {'Zn', 'Ba', 'Hg', 'Pd', 'Cd', 'Fe', 'Mg', 'Ca', 'Sr'}, {'K', 'Na', 'Ag', 'H'}, {'K', 'Na', 'H'}, {'O', 'C', 'S', 'Se'}, {'I', 'Cl'}, {'Br', 'Cl', 'N', 'I', 'F'}, {'P', 'As'}, {'Au', 'Al', 'B'}, {'Zn', 'Ba', 'Hg', 'Pb', 'Cd', 'Mg', 'Ca', 'Sr'}, {'Ba', 'Cu', 'Pb'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'O', 'S', 'Se'}, {'W', 'Mo', 'Zr', 'U', 'Ce', 'Te'}, {'I', 'F', 'Cl'}, {'Br', 'I', 'F', 'Cl'}, {'Be', np.str_('Ni')}]"
1822,"[{'Au', 'Sb', 'Al', 'B'}, {'P', 'As'}, {'K', np.str_('Na'), np.str_('Ag'), 'H'}, {'I', 'F', 'Cl'}, {'Br', 'Cl', 'N', 'I', 'F'}, {np.str_('Zn'), 'Hg', 'Cd', 'Mg', np.str_('Ca'), 'Sr'}, {'Ba', 'Cu', 'Pb'}, {'C', 'S', 'Se'}, {'W', 'Mo', 'Zr', 'U', 'Ce'}, {'Ta', 'Ti', 'Si', 'Ir'}, {'W', 'Si', 'Mo', 'Zr', 'U', 'Ti', 'Ce'}, {np.str_('O'), np.str_('C'), 'S', 'Se'}, {np.str_('Li'), 'Na', 'K', np.str_('H'), 'Ag'}, {'Br', 'I', 'F', 'Cl'}, {'K', np.str_('Na'), 'H'}, {'Be', np.str_('Mn')}, {np.str_('Fe'), 'Pd'}, {np.str_('Sn'), 'Pt'}, {'Bi', 'Cr', 'Tl'}, {np.str_('Ni'), np.str_('Co')}, {'Be', np.str_('Sn')}]"
1823,"[{'U', 'Ti', 'Te'}, {'W', 'Mo', 'Zr', 'U', 'Ce', 'Te'}, {'I', 'F', 'Cl'}, {'Br', 'I', 'F', 'Cl'}, {'P', 'As'}, {'O', 'C', 'S', 'Se'}, {'K', 'Na', 'H'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'Ba', 'Pb'}, {'Ti', 'Si', 'Ir'}, {np.str_('Zn'), np.str_('Cd'), np.str_('Pd'), np.str_('Mg'), np.str_('Sr')}, {np.str_('Ba'), np.str_('Hg'), np.str_('Cu'), 'Pb'}, {np.str_('Au'), np.str_('Sb'), 'Al', 'B'}, {'Cr', np.str_('Bi'), np.str_('Mn'), np.str_('Rh')}, {'Zr', 'Ce', 'Mo', 'W'}, {'K', 'Na', 'Ag', 'H'}, {np.str_('Ba'), np.str_('Cu'), 'Pb'}]"
1824,"[{'P', 'As'}, {'F', 'Cl'}, {'Br', 'I', 'F', 'Cl'}, {'C', 'S', 'Se'}, {'Ti', 'Si', 'Ir'}, {np.str_('Fe'), np.str_('Bi'), np.str_('Mn'), np.str_('Rh')}, {np.str_('Ba'), 'Sr', np.str_('Pb'), 'Ca'}, {'Ni', np.str_('Co'), 'Cu'}, {'K', 'Na', 'Ag', 'H'}, {'Li', 'K', 'Na', 'H'}, {np.str_('Zn'), np.str_('Mg'), 'Cd', np.str_('Pd')}, {'Zr', np.str_('Ce'), np.str_('Mo')}, {np.str_('Au'), np.str_('Sb'), np.str_('Al'), np.str_('B')}, {np.str_('W'), 'Si', 'Mo', 'Zr', np.str_('U'), 'Ti', 'Ce'}, {'K', 'Na', 'H'}, {np.str_('Ba'), np.str_('Pb')}, {np.str_('W'), 'Si', 'Mo', 'Zr', np.str_('U'), 'Ti', 'Ce', 'Te'}, {'I', 'F', 'Cl'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'O', 'S', 'Se'}, {'S', 'Se'}, {'Cr', 'N', 'Os'}, {'Cr', 'Os'}, {'O', 'C', 'S', 'Se'}]"
1825,"[{'W', 'U', 'Mo'}, {'Zr', 'Ti', 'Si'}, {'Zr', 'Ti', 'Si', 'Ir'}, {'P', 'As'}, {'F', 'Cl'}, {'O', 'S', np.str_('Se')}, {'Ba', 'Sr', 'Pb'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'K', 'Na', 'H'}, {np.str_('Au'), np.str_('Sb'), np.str_('Al'), np.str_('B')}, {'Fe', np.str_('Ni'), np.str_('Co'), np.str_('Cu')}, {np.str_('Zn'), 'Hg', 'Cd', np.str_('Mg'), np.str_('Ca'), 'Sr'}, {'Ba', 'Pb'}, {'I', 'F', 'Cl'}, {'Pt', 'Pd'}, {np.str_('N'), np.str_('Mn')}, {'P', np.str_('Sb'), 'As'}]"
1826,"[{'Br', 'I', 'F', 'Cl'}, {'Te', 'C', 'Se'}, {'W', 'U', 'Mo'}, {'Zr', 'Ti', 'Si'}, {'P', 'As'}, {np.str_('Fe'), np.str_('Bi'), np.str_('Mn'), np.str_('Rh')}, {'Zn', 'Ba', 'Pb', 'Cd', 'Mg', 'Ca', 'Sr'}, {'Ba', 'Sr', 'Ca'}, {'Ba', 'Sr', 'Pb', 'Ca'}, {'K', 'Na', 'H'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {np.str_('Au'), 'Sb', 'Al', 'B'}, {'Ba', 'Pb', 'Mg', 'Ca', 'Sr'}, {'O', 'S'}, {'W', 'U', np.str_('Cr'), 'Mo'}, {np.str_('Fe'), 'Co'}, {'Ta', np.str_('Sn')}]"
1827,"[{'K', 'Na', 'H'}, {np.str_('Ni'), np.str_('Co'), 'Cu'}, {'Zr', 'Ti', 'Si'}, {'O', 'S', 'Se'}, {'U', 'Cr'}, {np.str_('Bi'), 'Al'}, {'P', 'As'}, {'Br', 'I', 'F', 'Cl'}, {np.str_('Sn'), np.str_('Pt'), np.str_('Pd')}, {'Ba', np.str_('Sr'), 'Pb', 'Ca'}, {'Br', 'I', 'Cl'}, {'W', 'Mo'}, {'Ba', 'Pb', 'Mg', 'Ca', np.str_('Sr')}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'Fe', np.str_('Mn')}, {'W', 'U', 'Cr', 'Mo'}, {'B', 'Tl'}]"
1828,"[{'Ba', 'Sr', 'Pb', 'Ca'}, {'W', 'Cr', 'Mo'}, {'Ti', 'Si'}, {'Zr', 'Ti', 'Si'}, {'Li', 'Na', 'K', 'H', 'Ag'}, {'K', 'Na', 'H'}, {'S', 'Se'}, {'Br', 'I', 'F', 'Cl'}, {'P', 'As'}, {'P', 'Sb', 'B', 'As'}, {np.str_('Co'), np.str_('Cu')}, {np.str_('Ni'), np.str_('Co'), np.str_('Cu')}, {'Pt', np.str_('Pd')}, {'O', 'S', 'Se'}, {'Bi', 'Al'}, {np.str_('Cd'), np.str_('Zn')}, {'Au', 'Bi', 'Al'}, {'Os', 'Ir'}, {'Au', 'Bi', 'Al', 'B'}, {'Bi', 'Al', 'B'}]"
1829,"[{'Br', 'I', 'F', 'Cl'}, {'S', 'Se'}, {'W', 'Mo'}, {'Bi', 'Al'}, {'P', 'Sb', 'As'}, {'Zn', np.str_('Mg'), 'Cd'}, {'Ba', 'Sr', 'Ca'}, {'Pt', 'Pd'}, {'Zr', 'Ti', 'Si', 'Th'}, {'Li', np.str_('Na'), 'K', 'H', np.str_('Ag')}, {np.str_('Co'), np.str_('Cu')}, {np.str_('Au'), np.str_('Tl'), np.str_('Rh')}, {'O', 'S'}, {'K', np.str_('Na'), 'H'}, {np.str_('Au'), np.str_('Tl')}, {'O', 'S', 'Se'}, {np.str_('Ni'), np.str_('Co'), np.str_('Cu')}, {'Os', 'Ir'}]"
